"Demographic data (total population, age groups and race/ethnicity) by census tract were extracted from the 2019 American Community Survey.",,,,,,,,,,,,,,
Census Tract,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,California County,Total Population,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
6001400100,4.85,2.80,1-5% (lowest scores),Alameda ,3120,7.82,66.12,26.06,3.78,74.26,3.43,0,12.53,5.99
6001400200,4.88,2.87,1-5% (lowest scores),Alameda ,2007,10.46,66.32,23.22,8.67,73.49,2.59,0.2,8.52,6.53
6001400300,11.20,15.94,15-20%,Alameda ,5051,11.42,73.04,15.54,6.95,67.99,9.09,0,12.14,3.84
6001400400,12.39,18.97,15-20%,Alameda ,4007,9.38,78.79,11.83,12.1,63.74,6.64,0.87,10.48,6.16
6001400500,16.73,29.74,25-30%,Alameda ,4124,9.12,81.96,8.92,9.46,45.44,21.39,0,11.34,12.37
6001400600,20.02,37.59,35-40%,Alameda ,1745,9.97,81.43,8.6,7.51,49.28,20.52,0.17,10.54,11.98
6001400700,36.71,70.13,70-75%,Alameda ,5128,7.62,82.45,9.93,19.38,38.28,28.24,0,6.42,7.68
6001400800,37.10,70.71,70-75%,Alameda ,4069,9.04,81.52,9.44,10.62,43.55,23.27,0.2,15.19,7.18
6001400900,40.71,76.15,75-80%,Alameda ,2471,11.17,79.81,9.02,15.82,41.64,28.77,2.47,4.09,7.2
6001401000,43.74,80.41,80-85%,Alameda ,6133,9.96,80.61,9.42,18.72,33.44,30.36,0,8.27,9.21
6001401100,32.93,63.86,60-65%,Alameda ,4287,8.82,84.7,6.48,10.75,52.39,7.74,0,20.08,9.03
6001401200,20.25,38.11,35-40%,Alameda ,2619,8.59,82.44,8.97,12.18,61.02,11.26,0.08,11.49,3.97
6001401300,43.68,80.35,80-85%,Alameda ,3921,3.9,81.92,14.18,10.12,38.41,28.51,0.61,16.76,5.59
6001401400,45.08,82.12,80-85%,Alameda ,4732,8.09,84.53,7.38,18.96,25.74,31.93,1.54,12.37,9.47
6001401500,44.53,81.43,80-85%,Alameda ,2839,4.54,84.71,10.74,14.12,36.91,37.34,0,5.39,6.23
6001401600,48.78,86.50,85-90%,Alameda ,2289,6.68,88.16,5.16,20.05,28.66,35.91,0,11.36,4.02
6001401700,43.47,80.09,80-85%,Alameda ,3018,12.06,80.22,7.72,26.64,38.87,17.03,0,12.16,5.3
6001401800,45.10,82.16,80-85%,Alameda ,1801,10.94,80.07,9,20.27,33.48,38.2,0.22,5.5,2.33
6001402200,55.82,93.12,90-95%,Alameda ,2477,11.51,79.09,9.41,16.23,29.87,31.77,1.25,16.35,4.52
6001402400,37.31,71.02,70-75%,Alameda ,2866,8.86,74.56,16.57,9.14,24.11,48.39,0,12.98,5.37
6001402500,50.81,88.67,85-90%,Alameda ,1781,17.24,72.99,9.77,14.77,10.89,58.39,0,13.31,2.64
6001402600,42.12,78.23,75-80%,Alameda ,1243,5.87,68.46,25.66,16.49,14.4,25.91,0.48,38.7,4.02
